UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Jul26 ?        00:00:01 /sbin/init splash
root           2       0  0 Jul26 ?        00:00:00 [kthreadd]
root           3       2  0 Jul26 ?        00:00:00 [rcu_gp]
root           4       2  0 Jul26 ?        00:00:00 [rcu_par_gp]
root           5       2  0 Jul26 ?        00:00:00 [slub_flushwq]
root           6       2  0 Jul26 ?        00:00:00 [netns]
root           8       2  0 Jul26 ?        00:00:00 [kworker/0:0H-events_highpri]
root          11       2  0 Jul26 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 Jul26 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 Jul26 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 Jul26 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 Jul26 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 Jul26 ?        00:00:01 [rcu_preempt]
root          17       2  0 Jul26 ?        00:00:00 [migration/0]
root          18       2  0 Jul26 ?        00:00:00 [idle_inject/0]
root          19       2  0 Jul26 ?        00:00:00 [cpuhp/0]
root          20       2  0 Jul26 ?        00:00:00 [cpuhp/1]
root          21       2  0 Jul26 ?        00:00:00 [idle_inject/1]
root          22       2  0 Jul26 ?        00:00:00 [migration/1]
root          23       2  0 Jul26 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 Jul26 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 Jul26 ?        00:00:00 [cpuhp/2]
root          27       2  0 Jul26 ?        00:00:00 [idle_inject/2]
root          28       2  0 Jul26 ?        00:00:00 [migration/2]
root          29       2  0 Jul26 ?        00:00:00 [ksoftirqd/2]
root          31       2  0 Jul26 ?        00:00:00 [kworker/2:0H-events_highpri]
root          32       2  0 Jul26 ?        00:00:00 [cpuhp/3]
root          33       2  0 Jul26 ?        00:00:00 [idle_inject/3]
root          34       2  0 Jul26 ?        00:00:00 [migration/3]
root          35       2  0 Jul26 ?        00:00:00 [ksoftirqd/3]
root          37       2  0 Jul26 ?        00:00:00 [kworker/3:0H-events_highpri]
root          38       2  0 Jul26 ?        00:00:00 [kdevtmpfs]
root          39       2  0 Jul26 ?        00:00:00 [inet_frag_wq]
root          41       2  0 Jul26 ?        00:00:00 [kauditd]
root          42       2  0 Jul26 ?        00:00:00 [khungtaskd]
root          43       2  0 Jul26 ?        00:00:00 [oom_reaper]
root          45       2  0 Jul26 ?        00:00:00 [writeback]
root          46       2  0 Jul26 ?        00:00:00 [kcompactd0]
root          47       2  0 Jul26 ?        00:00:00 [ksmd]
root          48       2  0 Jul26 ?        00:00:00 [khugepaged]
root          49       2  0 Jul26 ?        00:00:00 [kintegrityd]
root          50       2  0 Jul26 ?        00:00:00 [kblockd]
root          51       2  0 Jul26 ?        00:00:00 [blkcg_punt_bio]
root          52       2  0 Jul26 ?        00:00:00 [tpm_dev_wq]
root          54       2  0 Jul26 ?        00:00:00 [ata_sff]
root          55       2  0 Jul26 ?        00:00:00 [md]
root          56       2  0 Jul26 ?        00:00:00 [md_bitmap]
root          57       2  0 Jul26 ?        00:00:00 [edac-poller]
root          58       2  0 Jul26 ?        00:00:00 [devfreq_wq]
root          60       2  0 Jul26 ?        00:00:00 [watchdogd]
root          62       2  0 Jul26 ?        00:00:00 [kworker/1:1H-events_highpri]
root          63       2  0 Jul26 ?        00:00:00 [kswapd0]
root          64       2  0 Jul26 ?        00:00:00 [ecryptfs-kthread]
root          65       2  0 Jul26 ?        00:00:00 [kthrotld]
root          66       2  0 Jul26 ?        00:00:00 [irq/122-aerdrv]
root          67       2  0 Jul26 ?        00:00:00 [irq/123-aerdrv]
root          68       2  0 Jul26 ?        00:00:00 [irq/124-aerdrv]
root          69       2  0 Jul26 ?        00:00:00 [irq/124-pciehp]
root          70       2  0 Jul26 ?        00:00:00 [irq/125-aerdrv]
root          71       2  0 Jul26 ?        00:00:00 [acpi_thermal_pm]
root          74       2  0 Jul26 ?        00:00:00 [hwrng]
root          75       2  0 Jul26 ?        00:00:00 [mld]
root          76       2  0 Jul26 ?        00:00:00 [ipv6_addrconf]
root          83       2  0 Jul26 ?        00:00:00 [kstrp]
root          90       2  0 Jul26 ?        00:00:00 [charger_manager]
root         109       2  0 Jul26 ?        00:00:00 [kworker/3:1H-kblockd]
root         113       2  0 Jul26 ?        00:00:00 [kworker/0:1H-events_highpri]
root         139       2  0 Jul26 ?        00:00:00 [kworker/2:1H-kblockd]
root         141       2  0 Jul26 ?        00:00:00 [nvme-wq]
root         142       2  0 Jul26 ?        00:00:00 [nvme-reset-wq]
root         143       2  0 Jul26 ?        00:00:00 [nvme-delete-wq]
root         144       2  0 Jul26 ?        00:00:00 [nvme-auth-wq]
root         145       2  0 Jul26 ?        00:00:00 [scsi_eh_0]
root         146       2  0 Jul26 ?        00:00:00 [scsi_tmf_0]
root         147       2  0 Jul26 ?        00:00:00 [scsi_eh_1]
root         148       2  0 Jul26 ?        00:00:00 [scsi_tmf_1]
root         149       2  0 Jul26 ?        00:00:00 [scsi_eh_2]
root         150       2  0 Jul26 ?        00:00:00 [scsi_tmf_2]
root         166       2  0 Jul26 ?        00:00:03 [irq/51-DLL07D0:01]
root         187       2  0 Jul26 ?        00:00:00 [jbd2/nvme0n1p3-8]
root         188       2  0 Jul26 ?        00:00:00 [ext4-rsv-conver]
root         227       1  0 Jul26 ?        00:00:00 /lib/systemd/systemd-journald
